tradedate,mean_price
09-06-2006,54.76857
09-07-2006,46.14909
09-08-2006,55.376366
09-11-2006,57.058998
09-12-2006,48.633999
9/13/06,46.875999
9/14/06,46.569092
9/15/06,46.127274
9/18/06,51.43
9/19/06,49.622002
9/20/06,48.343998
9/21/06,48.633999
9/22/06,45.935455
9/25/06,52.402
9/26/06,50.958889
9/27/06,50.588001
9/28/06,50.040001
9/29/06,47.556667
10-02-2006,55.581001
10-03-2006,50.732998
10-04-2006,47.068001
10-05-2006,39.620998
10-06-2006,48.075455
10-09-2006,54.158001
10-10-2006,50.014
10-11-2006,51.538002
10-12-2006,54.199089
10/13/06,49.397274
10/16/06,55.612
10/17/06,52.632999
10/18/06,47.027779
10/19/06,46.160999
10/20/06,56.996666
10/23/06,55.521111
10/24/06,48.08091
10/25/06,53.771999
10/26/06,51.737499
10/27/06,50.668999
10/30/06,57.865715
10/31/06,51.279999
11-01-2006,48.869999
11-02-2006,47.247501
11-03-2006,51.605453
11-06-2006,53.59
11-07-2006,46.157143
11-08-2006,46.532501
11-09-2006,47.104546
11/13/06,52.392223
11/14/06,46.280998
11/15/06,45.561001
11/16/06,45.147274
11/17/06,47.014545
11/20/06,49.57
11/21/06,44.282856
11/22/06,49.164001
11/27/06,52.423752
11/28/06,52.778751
11/29/06,55.648888
11/30/06,55.586365
12-01-2006,52.029999
12-04-2006,56.688
12-05-2006,55.542
12-06-2006,54.105453
12-07-2006,54.324547
12-08-2006,52.654545
12-11-2006,59.125
12-12-2006,56.343002
12/13/06,57.200909
12/14/06,54.130001
12/15/06,51.033333
12/18/06,55.903999
12/19/06,48.996002
12/20/06,55.616249
12/22/06,46.794003
12/26/06,51.90889
12/27/06,44.036251
12/29/06,44.609093
