,HenryHub,,,,,,,,,,,,,,,,,,,,,,,,
28-11-2014,4.3,,,,,,,,,,,,,,,,,,,,,,,,
01-12-2014,4.3,,,,,,,,,,,,,,,,,,,,,,,,
02-12-2014,3.77,,,,,,,,,,,,,,,,,,,,,,,,
03-12-2014,3.63,,,,,,,,,,,,,,,,,,,,,,,,
04-12-2014,3.63,,,,,,,,,,,,,,,,,,,,,,,,
05-12-2014,3.42,,,,,,,,,,,,,,,,,,,,,,,,
08-12-2014,3.42,,,,,,,,,,,,,,,,,,,,,,,,
09-12-2014,3.63,,,,,,,,,,,,,,,,,,,,,,,,
10-12-2014,3.65,,,,,,,,,,,,,,,,,,,,,,,,
11-12-2014,3.68,,,,,,,,,,,,,,,,,,,,,,,,
12-12-2014,3.91,,,,,,,,,,,,,,,,,,,,,,,,
15-12-2014,3.72,,,,,,,,,,,,,,,,,,,,,,,,
16-12-2014,3.58,,,,,,,,,,,,,,,,,,,,,,,,
17-12-2014,3.72,,,,,,,,,,,,,,,,,,,,,,,,
18-12-2014,3.71,,,,,,,,,,,,,,,,,,,,,,,,
19-12-2014,3.71,,,,,,,,,,,,,,,,,,,,,,,,
22-12-2014,3.05,,,,,,,,,,,,,,,,,,,,,,,,
23-12-2014,2.99,,,,,,,,,,,,,,,,,,,,,,,,
24-12-2014,2.99,,,,,,,,,,,,,,,,,,,,,,,,
26-12-2014,2.74,,,,,,,,,,,,,,,,,,,,,,,,
29-12-2014,3.07,,,,,,,,,,,,,,,,,,,,,,,,
30-12-2014,3.14,,,,,,,,,,,,,,,,,,,,,,,,
31-12-2014,3.14,,,,,,,,,,,,,,,,,,,,,,,,
02-01-2015,3.01,,,,,,,,,,,,,,,,,,,,,,,,
05-01-2015,3.22,,,,,,,,,,,,,,,,,,,,,,,,
06-01-2015,2.98,,,,,,,,,,,,,,,,,,,,,,,,
07-01-2015,3.08,,,,,,,,,,,,,,,,,,,,,,,,
08-01-2015,2.92,,,,,,,,,,,,,,,,,,,,,,,,
09-01-2015,2.96,,,,,,,,,,,,,,,,,,,,,,,,
12-01-2015,2.9,,,,,,,,,,,,,,,,,,,,,,,,
13-01-2015,2.92,,,,,,,,,,,,,,,,,,,,,,,,
14-01-2015,3.15,,,,,,,,,,,,,,,,,,,,,,,,
15-01-2015,3.32,,,,,,,,,,,,,,,,,,,,,,,,
16-01-2015,3.11,,,,,,,,,,,,,,,,,,,,,,,,
20-01-2015,2.94,,,,,,,,,,,,,,,,,,,,,,,,
21-01-2015,2.94,,,,,,,,,,,,,,,,,,,,,,,,
22-01-2015,2.95,,,,,,,,,,,,,,,,,,,,,,,,
23-01-2015,2.96,,,,,,,,,,,,,,,,,,,,,,,,
26-01-2015,2.92,,,,,,,,,,,,,,,,,,,,,,,,
27-01-2015,2.96,,,,,,,,,,,,,,,,,,,,,,,,
28-01-2015,2.89,,,,,,,,,,,,,,,,,,,,,,,,
29-01-2015,2.88,,,,,,,,,,,,,,,,,,,,,,,,
30-01-2015,2.88,,,,,,,,,,,,,,,,,,,,,,,,
02-02-2015,2.88,,,,,,,,,,,,,,,,,,,,,,,,
03-02-2015,2.67,,,,,,,,,,,,,,,,,,,,,,,,
04-02-2015,2.73,,,,,,,,,,,,,,,,,,,,,,,,
05-02-2015,2.66,,,,,,,,,,,,,,,,,,,,,,,,
06-02-2015,2.66,,,,,,,,,,,,,,,,,,,,,,,,
09-02-2015,2.62,,,,,,,,,,,,,,,,,,,,,,,,
10-02-2015,2.67,,,,,,,,,,,,,,,,,,,,,,,,
11-02-2015,2.86,,,,,,,,,,,,,,,,,,,,,,,,
12-02-2015,2.86,,,,,,,,,,,,,,,,,,,,,,,,
13-02-2015,2.75,,,,,,,,,,,,,,,,,,,,,,,,
17-02-2015,2.75,,,,,,,,,,,,,,,,,,,,,,,,
18-02-2015,2.92,,,,,,,,,,,,,,,,,,,,,,,,
19-02-2015,2.92,,,,,,,,,,,,,,,,,,,,,,,,
20-02-2015,3.02,,,,,,,,,,,,,,,,,,,,,,,,
23-02-2015,3.22,,,,,,,,,,,,,,,,,,,,,,,,
24-02-2015,3.22,,,,,,,,,,,,,,,,,,,,,,,,
25-02-2015,3.21,,,,,,,,,,,,,,,,,,,,,,,,
26-02-2015,3.21,,,,,,,,,,,,,,,,,,,,,,,,
27-02-2015,2.79,,,,,,,,,,,,,,,,,,,,,,,,
02-03-2015,2.79,,,,,,,,,,,,,,,,,,,,,,,,
03-03-2015,3,,,,,,,,,,,,,,,,,,,,,,,,
04-03-2015,3.27,,,,,,,,,,,,,,,,,,,,,,,,
05-03-2015,3.27,,,,,,,,,,,,,,,,,,,,,,,,
06-03-2015,2.89,,,,,,,,,,,,,,,,,,,,,,,,
09-03-2015,2.75,,,,,,,,,,,,,,,,,,,,,,,,
10-03-2015,2.76,,,,,,,,,,,,,,,,,,,,,,,,
11-03-2015,2.76,,,,,,,,,,,,,,,,,,,,,,,,
12-03-2015,2.82,,,,,,,,,,,,,,,,,,,,,,,,
13-03-2015,2.72,,,,,,,,,,,,,,,,,,,,,,,,
16-03-2015,2.68,,,,,,,,,,,,,,,,,,,,,,,,
17-03-2015,2.82,,,,,,,,,,,,,,,,,,,,,,,,
18-03-2015,2.8,,,,,,,,,,,,,,,,,,,,,,,,
19-03-2015,2.86,,,,,,,,,,,,,,,,,,,,,,,,
20-03-2015,2.86,,,,,,,,,,,,,,,,,,,,,,,,
23-03-2015,2.72,,,,,,,,,,,,,,,,,,,,,,,,
24-03-2015,2.79,,,,,,,,,,,,,,,,,,,,,,,,
25-03-2015,2.77,,,,,,,,,,,,,,,,,,,,,,,,
26-03-2015,2.77,,,,,,,,,,,,,,,,,,,,,,,,
27-03-2015,2.89,,,,,,,,,,,,,,,,,,,,,,,,
30-03-2015,2.64,,,,,,,,,,,,,,,,,,,,,,,,
31-03-2015,2.65,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2015,2.62,,,,,,,,,,,,,,,,,,,,,,,,
02-04-2015,2.63,,,,,,,,,,,,,,,,,,,,,,,,
06-04-2015,2.63,,,,,,,,,,,,,,,,,,,,,,,,
07-04-2015,2.71,,,,,,,,,,,,,,,,,,,,,,,,
08-04-2015,2.71,,,,,,,,,,,,,,,,,,,,,,,,
