"Data_Status","State","MSN","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"2015F","AL","TETCB","1393617","1385063","1478196","1527391","1547838","1515313","1551983","1623676","1638624","1649050","1645058","1604167","1499225","1446066","1544689","1519791","1504837","1582744","1651823","1683262","1665541","1682947","1753453","1806214","1898424","1972483","2005024","1972619","2018514","2061513","2111717","1918038","1978855","1970215","2083465","2064982","2102503","2086251","2003763","1800938","1931458","1905096","1879577","1919299","1956390","1909559"
"2015F","AL","TNSCB","1027780","1007592","1066173","1091926","1102325","1091540","1102296","1135300","1129014","1115634","1055646","1021017","951474","900737","960682","936864","932427","991193","1038917","1102265","1083787","1099503","1152758","1181056","1248772","1325325","1343490","1306410","1308615","1336724","1372232","1238859","1275397","1272203","1340310","1334896","1348582","1328595","1271091","1118364","1213527","1215934","1211943","1268450","1293979","1280820"
"2015F","AL","WDRSB","1840","1711","1594","1480","1628","1892","2110","2297","2061","2128","2919","3325","4604","3692","5046","5198","4735","3865","4125","4170","5916","6202","6507","4958","4706","4706","4887","2569","2283","2343","2523","2079","2111","2222","2277","1794","1591","1759","1968","2606","2275","2327","2172","2999","3053","2275"
"2015F","AL","WDRXB","8463","7870","7333","6810","7488","8703","9706","10568","9480","9791","13427","15296","21182","16987","23215","23914","21783","17782","18977","19185","9214","9660","10135","7723","7330","7330","7612","4001","3556","3649","3930","3239","3287","3460","3547","2794","2478","2739","3065","4059","3544","3625","3383","4672","4756","3543"
"2015F","AL","WWCSB","35","32","30","28","31","36","40","44","39","40","72","80","104","84","113","124","139","131","145","338","647","675","712","667","639","645","670","429","375","394","422","366","375","390","381","288","267","284","299","368","363","350","306","355","365","398"
"2015F","AL","WWCXB","159","148","139","129","142","165","183","201","180","186","333","368","480","385","521","568","639","605","667","1554","1007","1051","1109","1039","995","1005","1044","669","584","614","657","570","584","608","594","448","416","442","466","573","566","545","477","553","568","620"
"2015F","AL","WWISB","6984","7389","8278","8444","8200","7807","8479","8937","9138","9293","20835","21990","21274","24029","24515","24411","24782","24676","25671","69612","57830","57918","63032","90584","123866","160382","150538","130455","160131","166478","168957","132250","137866","129649","130325","152579","166833","158457","144155","90345","115053","128683","132474","145853","136758","130124"
"2015F","AL","WWIXB","34898","36919","41361","42193","40974","39011","42365","44658","45661","46435","103446","109182","105625","119305","121716","121203","106889","104658","107927","44393","43056","41752","42551","45309","53765","27329","23800","25199","24074","24994","24029","22983","15440","15704","43807","16759","18835","19773","19190","39132","18841","17523","17941","14057","14052","14050"
"2015F","AL","WYCCB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015F","AL","WYICB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015F","AR","CLOSB","0","50","50","2260","2664","862","3578","5189","6619","7328","6336","7687","7442","9324","8411","7991","7726","6737","5770","5974","5839","6839","7076","7748","8599","7784","8356","6980","7004","7927","9616","10901","10457","10126","10126","9275","9084","9778","9567","7429","7272","5576","5154","5065","5461","4672"
"2015F","AR","CLRFB","0","0","0","0","0","0","0","0","0","0","0","7","62","12","116","93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015F","AR","COICB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015F","AR","DFISB","11419","10916","16633","18043","18731","16500","18393","25588","26517","37084","20646","26605","26313","29025","22985","24874","22668","16952","18369","14893","14103","11730","19241","18465","18340","23485","19707","23225","22131","20478","23334","26624","25247","30986","32419","40010","40240","40910","52181","25463","33311","30797","29426","32325","29737","22360"
"2015F","AR","DFRFB","12","64","82","588","181","47","186","221","513","192","0","260","119","58","34","18","24","45","10","35","17","13","33","22","24","36","41","39","74","54","91","78","47","32","65","77","104","105","108","82","93","75","119","12","6","23"
"2015F","AR","EMLCB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015F","AR","ESISB","21218","21933","23447","24563","24995","20160","28112","31528","32445","36676","36976","31301","27086","29406","32097","28520","24263","26031","28045","30022","31658","32972","35365","39132","41041","44036","47908","49534","51091","53074","54795","52475","53007","53360","54152","55250","55912","55035","52353","44470","50118","50995","50788","55559","55847","53903"
"2015F","AR","ESRFB","389","403","263","239","242","293","338","345","358","358","372","3006","2348","2330","2827","2355","2224","2485","2428","2603","2893","2914","3025","3890","5109","5380","3748","3803","3726","3837","4124","4622","4611","4446","4951","5022","5470","5832","5783","5721","7117","6989","6697","962","966","819"
"2015F","AR","GECCB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","4","4","4","4","4","4","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015F","AR","GEICB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","21","21","21","15","17","19","19","20","25","21","7","7","12","12","12","12"
"2015F","AR","GERCB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","94","104","113","122","129","119","127","134","143","148","171","171","191","207","267","289","330","382","461","547","681","766","743","797","797","797","797"
"2015F","AR","HYCCB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015F","AR","HYICB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015F","AR","LGISB","6563","6044","7587","7380","7960","9833","9081","7205","5739","6064","7637","5364","6352","4959","3001","3800","3597","4222","4565","4759","4275","4476","4231","4953","4618","5049","4673","4160","3251","6936","11552","9702","5338","3941","4059","3107","3423","3765","2966","2722","2575","2429","2078","2151","2583","2176"
"2015F","AR","LGRFB","153","492","579","188","128","66","33","126","208","113","73","27","97","28","16","15","17","9","11","20","13","8","10","8","7","9","7","5","3","11","19","15","9","9","3","2","2","2","3","2","2","1","2","21","10","10"
"2015F","AR","LOTCB","110967","117372","127820","136605","139579","148365","167989","187545","198251","201313","217205","186123","179721","186146","191332","186244","175534","182725","190924","205468","217262","222897","222195","250878","257699","275065","279041","287870","311426","311844","332565","329809","333712","321888","329357","349375","337572","347250","338349","300006","337081","339709","317514","323724","327855","308231"
"2015F","AR","NGISB","143339","141197","140339","172261","151195","121819","130455","124268","111704","114316","118882","112185","91317","79563","83741","86226","79496","47092","91018","113827","106018","92916","103203","102665","116036","126940","123957","127559","121082","120115","115678","107665","106201","100633","90092","77633","78268","76307","74935","67568","72325","74648","70288","82076","83107","79558"
"2015F","AR","NGLPB","9221","6459","4741","2994","4234","4179","4032","4113","3757","7782","1938","2537","5080","5495","6034","12648","9183","12140","12197","11634","7155","1429","5878","6485","4854","6020","5722","6953","8593","2266","1945","1522","1461","1153","1871","1737","1917","1924","3017","4633","5913","6695","7293","7545","7423","6687"
